#d_LiF=201pm
#19/05/22
#2theta count
40.1    2676
40.6    2623
41.1    2793
41.7    3033
42.1    2802
42.4    2730
43.0    2576
43.8    2729
44.3    2865
44.9    3671
45.2    4969
45.7    7861
46.1    11808
46.4    14394
46.9    4194
47.2    3039
47.8    2865
48.5    2854
49.0    2781
49.3    2751
49.8    2688
50.1    2739
50.6    2577
51.1    2585
52.5    2771
53.1    2975
53.8    2981
54.2    2761
54.5    2407
55.4    2364
56.6    2222
57.8    2113
58.4    2188
59.1    2108
60.0    2082
60.6    2084
61.3    2021
62.0    2015
63.1    1795
64.2    1706
65.1    1585
66.0    1487
67.0    1378
68.2    1249
70.0    1064
70.9    970
72.9    772
74.5    622
76.0    547
78.0    410
80.9    308
83.2    249
84.9    216
86.9    223
87.2    235
87.6    218
88.0    218
88.3    235
88.9    207
89.8    207
90.0    195
